dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
Coffee,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.35964709,2.37766106
Computers,0.77200000,0.87600000,0.88000000,0.83600000,0.88000000,0.82800000,0.86000000,0.86000000,0.84400000,0.87600000,0.91200000,0.86000000,0.92000000,0.85600000,0.83600000,0.87200000,0.80800000,0.88800000,0.86400000,0.84800000,0.88800000,0.87600000,0.89200000,0.88400000,0.86000000,0.84800000,0.90000000,0.87600000,0.87200000,0.89600000,0.77200000,0.92000000,0.86560000,0.87200000,0.02985476,0.93814187,0.86876175,0.47804055,32.97323992
CricketX,0.82307692,0.83589744,0.85897436,0.85128205,0.84358974,0.83076923,0.85641026,0.84615385,0.88205128,0.83589744,0.84102564,0.85897436,0.83076923,0.84102564,0.84358974,0.83333333,0.87692308,0.84871795,0.84102564,0.84615385,0.85128205,0.84615385,0.85384615,0.85128205,0.84358974,0.85641026,0.84102564,0.86153846,0.82820513,0.83589744,0.82307692,0.88205128,0.84649573,0.84487179,0.01301954,0.98085925,0.84349274,1.54611272,28.33074094
CricketY,0.85128205,0.85897436,0.89230769,0.83076923,0.85641026,0.85128205,0.83076923,0.86666667,0.85641026,0.87692308,0.82307692,0.85384615,0.88974359,0.85128205,0.85384615,0.85897436,0.85128205,0.86410256,0.85128205,0.86666667,0.86153846,0.88461538,0.86666667,0.84615385,0.86666667,0.84615385,0.85128205,0.85128205,0.88205128,0.87692308,0.82307692,0.89230769,0.85897436,0.85641026,0.01617622,0.98495795,0.85774080,1.56835537,23.90183284
CricketZ,0.85384615,0.85128205,0.84358974,0.82564103,0.87692308,0.85128205,0.82307692,0.85897436,0.84358974,0.85897436,0.87692308,0.86153846,0.85128205,0.84358974,0.85128205,0.87435897,0.84102564,0.84102564,0.86410256,0.83333333,0.88205128,0.84102564,0.84615385,0.85641026,0.83589744,0.83076923,0.87692308,0.83589744,0.85897436,0.84102564,0.82307692,0.88205128,0.85102564,0.85128205,0.01551723,0.98204009,0.84836656,1.54487469,41.12002384
Crop,0.77994048,0.77589286,0.78029762,0.78166667,0.77809524,0.77755952,0.78208333,0.78166667,0.78101190,0.77636905,0.78005952,0.77607143,0.78077381,0.77946429,0.78077381,0.77678571,0.78232143,0.77946429,0.77916667,0.77732143,0.78208333,0.77958333,0.78053571,0.78089286,0.77869048,0.78166667,0.77726190,0.77440476,0.78142857,0.77785714,0.77440476,0.78232143,0.77937302,0.77976190,0.00212274,0.97562964,0.77616590,2.09726488,157.31185804
DiatomSizeReduction,0.96405229,0.99019608,0.96732026,0.96732026,0.93790850,0.99673203,0.92483660,0.97712418,0.98366013,0.99019608,0.97385621,0.99019608,0.96405229,0.98366013,0.90849673,0.92156863,0.98039216,0.93790850,0.98366013,0.85947712,0.99346405,0.95751634,0.93790850,0.95098039,0.95098039,0.97712418,0.97385621,0.98366013,0.98039216,0.94444444,0.85947712,0.99673203,0.96176471,0.97058824,0.02979835,0.99476429,0.94298017,0.49184683,8.86925306
DistalPhalanxOutlineAgeGroup,0.76978417,0.85611511,0.88489209,0.88489209,0.87769784,0.81294964,0.85611511,0.83453237,0.79856115,0.86330935,0.80575540,0.81294964,0.87769784,0.87050360,0.79856115,0.83453237,0.81294964,0.79856115,0.79136691,0.84892086,0.82014388,0.81294964,0.79856115,0.78417266,0.77697842,0.80575540,0.82733813,0.77697842,0.85611511,0.80575540,0.76978417,0.88489209,0.82517986,0.81294964,0.03410760,0.92956983,0.80190990,0.54670448,23.65492908
DistalPhalanxOutlineCorrect,0.80072464,0.85144928,0.85869565,0.86956522,0.79710145,0.88768116,0.82608696,0.84057971,0.84420290,0.85869565,0.85144928,0.87681159,0.84057971,0.86956522,0.84057971,0.81884058,0.84420290,0.88043478,0.86594203,0.82971014,0.85869565,0.86231884,0.85869565,0.87681159,0.84782609,0.88768116,0.83333333,0.84420290,0.82246377,0.85507246,0.79710145,0.88768116,0.85000000,0.85144928,0.02258034,0.92248385,0.88042914,0.48684787,18.99116883
DistalPhalanxTW,0.69064748,0.78417266,0.79136691,0.80575540,0.76258993,0.76978417,0.79856115,0.74100719,0.80575540,0.76258993,0.81294964,0.78417266,0.75539568,0.81294964,0.76258993,0.75539568,0.75539568,0.76978417,0.80575540,0.78417266,0.73381295,0.79136691,0.81294964,0.77697842,0.78417266,0.75539568,0.79856115,0.78417266,0.74820144,0.73381295,0.69064748,0.81294964,0.77434053,0.78057554,0.02807804,0.92391160,0.52216469,0.95516614,26.90958408
