dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
Coffee,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.36002076,1.01319817
Computers,0.76000000,0.87600000,0.86800000,0.83200000,0.87600000,0.86800000,0.85600000,0.85200000,0.86000000,0.86800000,0.89200000,0.86000000,0.90000000,0.85200000,0.83600000,0.86800000,0.81600000,0.87600000,0.86800000,0.83200000,0.87600000,0.86800000,0.90000000,0.88400000,0.86800000,0.85200000,0.90000000,0.88400000,0.85600000,0.88400000,0.76000000,0.90000000,0.86293333,0.86800000,0.02773077,0.93558187,0.86671195,0.48022744,9.98347214
CricketX,0.82051282,0.83333333,0.84615385,0.83589744,0.84358974,0.82820513,0.85897436,0.84358974,0.86410256,0.83076923,0.84358974,0.86666667,0.85384615,0.84102564,0.84358974,0.82564103,0.86666667,0.83846154,0.83846154,0.85128205,0.84615385,0.85641026,0.85384615,0.85641026,0.83846154,0.85641026,0.83589744,0.86666667,0.82307692,0.83589744,0.82051282,0.86666667,0.84478632,0.84358974,0.01295203,0.98060112,0.84205556,1.53843504,15.12539132
CricketY,0.86153846,0.87179487,0.88974359,0.84358974,0.86410256,0.83846154,0.82051282,0.87179487,0.85897436,0.87435897,0.83846154,0.86410256,0.88205128,0.85641026,0.85897436,0.85641026,0.84871795,0.86666667,0.85641026,0.86410256,0.85897436,0.89743590,0.87692308,0.85641026,0.85897436,0.85128205,0.84871795,0.84871795,0.89230769,0.88717949,0.82051282,0.89743590,0.86213675,0.85897436,0.01688786,0.98542580,0.86085701,1.55701098,6.60310702
CricketZ,0.85641026,0.84871795,0.84615385,0.82564103,0.86666667,0.83076923,0.82820513,0.85897436,0.83076923,0.83589744,0.86923077,0.84102564,0.84871795,0.85128205,0.83333333,0.86923077,0.84871795,0.85384615,0.85128205,0.83589744,0.88205128,0.82564103,0.85384615,0.85897436,0.85384615,0.82820513,0.86410256,0.83846154,0.84871795,0.84615385,0.82564103,0.88205128,0.84769231,0.84871795,0.01430086,0.98127651,0.84515533,1.53720702,14.98857632
Crop,0.77982143,0.77619048,0.78136905,0.78011905,0.77648810,0.77482143,0.77732143,0.77827381,0.77761905,0.77660714,0.77428571,0.77446429,0.77672619,0.77827381,0.77851190,0.77744048,0.77952381,0.77672619,0.77744048,0.77797619,0.77892857,0.77803571,0.77815476,0.78142857,0.77636905,0.77994048,0.77785714,0.77779762,0.77863095,0.77541667,0.77428571,0.78142857,0.77775198,0.77782738,0.00177601,0.97556353,0.77440521,2.09786749,69.12220352
DiatomSizeReduction,0.95751634,0.98692810,0.96405229,0.96732026,0.93790850,0.98692810,0.92156863,0.97712418,0.98366013,0.99019608,0.97712418,0.99019608,0.95751634,0.98039216,0.91503268,0.92483660,0.97385621,0.93790850,0.98039216,0.86274510,0.98692810,0.95424837,0.91830065,0.95424837,0.95098039,0.97712418,0.97712418,0.98366013,0.96732026,0.94444444,0.86274510,0.99019608,0.95958606,0.96732026,0.02871956,0.99271310,0.93986613,0.49395066,3.98738029
DistalPhalanxOutlineAgeGroup,0.75539568,0.83453237,0.87769784,0.88489209,0.87050360,0.80575540,0.86330935,0.82014388,0.82014388,0.87050360,0.81294964,0.81294964,0.87050360,0.86330935,0.80575540,0.82733813,0.79136691,0.79856115,0.80575540,0.84172662,0.83453237,0.82014388,0.80575540,0.78417266,0.78417266,0.79856115,0.83453237,0.79856115,0.86330935,0.81294964,0.75539568,0.88489209,0.82565947,0.82014388,0.03210296,0.92986060,0.80495473,0.54741219,3.57881137
DistalPhalanxOutlineCorrect,0.78260870,0.84782609,0.86231884,0.86594203,0.78985507,0.88043478,0.82246377,0.84057971,0.84782609,0.86231884,0.85869565,0.88043478,0.84782609,0.87318841,0.84057971,0.80072464,0.84420290,0.88768116,0.86231884,0.83695652,0.84057971,0.85144928,0.84782609,0.86956522,0.83695652,0.89130435,0.82608696,0.85144928,0.80434783,0.84420290,0.78260870,0.89130435,0.84661836,0.84782609,0.02648207,0.92241994,0.87812785,0.48733489,5.55261090
DistalPhalanxTW,0.67625899,0.77697842,0.78417266,0.81294964,0.74820144,0.76978417,0.79856115,0.73381295,0.80575540,0.76258993,0.79136691,0.79136691,0.74100719,0.82014388,0.79856115,0.76258993,0.74820144,0.77697842,0.79856115,0.78417266,0.73381295,0.78417266,0.79136691,0.79856115,0.77697842,0.76258993,0.79136691,0.80575540,0.76258993,0.72661871,0.67625899,0.82014388,0.77386091,0.78057554,0.03033455,0.92425733,0.52351716,0.95323886,3.15051895
ECG200,0.91000000,0.93000000,0.91000000,0.89000000,0.95000000,0.89000000,0.91000000,0.92000000,0.92000000,0.91000000,0.89000000,0.91000000,0.87000000,0.90000000,0.89000000,0.92000000,0.93000000,0.90000000,0.94000000,0.92000000,0.88000000,0.95000000,0.87000000,0.91000000,0.87000000,0.90000000,0.94000000,0.91000000,0.86000000,0.93000000,0.86000000,0.95000000,0.90766667,0.91000000,0.02347812,0.96276867,0.93013358,0.43664483,1.91853947
ECG5000,0.95022222,0.95066667,0.94600000,0.94600000,0.94822222,0.95200000,0.94866667,0.94733333,0.95044444,0.94933333,0.94711111,0.94955556,0.94577778,0.95044444,0.95088889,0.94866667,0.94155556,0.95266667,0.95000000,0.94644444,0.94777778,0.95088889,0.94555556,0.94666667,0.94777778,0.94777778,0.95177778,0.94911111,0.94733333,0.95088889,0.94155556,0.95266667,0.94858519,0.94866667,0.00236398,0.92157927,0.58634560,0.55990235,13.46692197
ECGFiveDays,1.00000000,1.00000000,0.99419280,0.99651568,1.00000000,0.98025552,0.99883856,0.99535424,0.96864111,0.99419280,0.99767712,0.99651568,1.00000000,1.00000000,1.00000000,1.00000000,0.99883856,0.99883856,1.00000000,0.99883856,0.99535424,0.99883856,1.00000000,1.00000000,1.00000000,0.99767712,0.99767712,1.00000000,0.99419280,0.98838560,0.96864111,1.00000000,0.99636082,0.99883856,0.00658878,0.99998543,0.99640946,0.37247638,1.96414951
