dataset,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,min,max,mean,median,std,auroc,f1,nll,time
HouseTwenty,0.98319328,0.98319328,0.96638655,0.98319328,0.98319328,0.98319328,0.99159664,0.98319328,0.98319328,0.96638655,0.99159664,1.00000000,0.97478992,0.96638655,0.97478992,0.98319328,0.99159664,0.98319328,0.93277311,0.99159664,0.98319328,0.98319328,0.98319328,0.98319328,0.99159664,0.97478992,0.97478992,0.99159664,0.94957983,0.98319328,0.93277311,1.00000000,0.97983193,0.98319328,0.01312647,0.99436226,0.97656639,0.38217844,10.38283039
InlineSkate,0.52909091,0.53818182,0.52363636,0.52909091,0.50909091,0.53636364,0.50909091,0.51636364,0.50909091,0.53090909,0.50545455,0.54727273,0.52000000,0.51272727,0.50727273,0.52727273,0.51454545,0.54727273,0.57454545,0.50363636,0.54000000,0.55454545,0.54363636,0.54909091,0.52181818,0.56545455,0.50727273,0.55090909,0.52363636,0.54000000,0.50363636,0.57454545,0.52957576,0.52818182,0.01857712,0.85116576,0.54250929,1.56210687,16.91563986
InsectEPGRegularTrain,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.27115128,15.89173171
InsectEPGSmallTrain,1.00000000,1.00000000,1.00000000,1.00000000,0.98795181,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.92369478,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.93574297,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99196787,0.99598394,1.00000000,1.00000000,1.00000000,0.92369478,1.00000000,0.99451138,1.00000000,0.01758172,0.99868696,0.99302778,0.34249123,3.30423894
InsectWingbeatSound,0.66818182,0.68080808,0.66969697,0.68080808,0.68636364,0.67676768,0.66818182,0.65909091,0.66464646,0.64747475,0.67979798,0.68535354,0.67020202,0.66565657,0.66111111,0.66717172,0.65656566,0.67272727,0.67222222,0.68131313,0.65909091,0.67020202,0.68383838,0.68787879,0.66666667,0.66262626,0.66767677,0.66868687,0.67424242,0.67626263,0.64747475,0.68787879,0.67104377,0.66994949,0.00947768,0.94387561,0.66417833,1.66037318,9.41770307
ItalyPowerDemand,0.96112731,0.95626822,0.96209913,0.96404276,0.96307094,0.97084548,0.96793003,0.96890185,0.97278912,0.96598639,0.96695821,0.96987366,0.96695821,0.96404276,0.94946550,0.96404276,0.97084548,0.96890185,0.97376093,0.92808552,0.96793003,0.96501458,0.96501458,0.96890185,0.96307094,0.95918367,0.96015549,0.95335277,0.95432459,0.96307094,0.92808552,0.97376093,0.96320052,0.96452867,0.00861848,0.99044577,0.96318865,0.37742067,3.84230555
LargeKitchenAppliances,0.87466667,0.94666667,0.96000000,0.94933333,0.95200000,0.95200000,0.95466667,0.96266667,0.94933333,0.95200000,0.94666667,0.93600000,0.96000000,0.95200000,0.95733333,0.93333333,0.94933333,0.94133333,0.94133333,0.94933333,0.94933333,0.95733333,0.94666667,0.94400000,0.93333333,0.94133333,0.96000000,0.94133333,0.96000000,0.95200000,0.87466667,0.96266667,0.94684444,0.94933333,0.01550239,0.98225067,0.94684683,0.41562137,12.37063886
Lightning2,0.78688525,0.77049180,0.80327869,0.85245902,0.80327869,0.86885246,0.85245902,0.90163934,0.90163934,0.77049180,0.78688525,0.80327869,0.73770492,0.72131148,0.77049180,0.72131148,0.83606557,0.86885246,0.88524590,0.78688525,0.75409836,0.73770492,0.86885246,0.75409836,0.88524590,0.85245902,0.78688525,0.81967213,0.85245902,0.78688525,0.72131148,0.90163934,0.81092896,0.80327869,0.05366332,0.90037928,0.85031793,0.52161122,8.23184042
Lightning7,0.86301370,0.82191781,0.79452055,0.76712329,0.80821918,0.79452055,0.80821918,0.75342466,0.84931507,0.84931507,0.75342466,0.87671233,0.82191781,0.86301370,0.76712329,0.79452055,0.79452055,0.79452055,0.80821918,0.80821918,0.75342466,0.78082192,0.82191781,0.78082192,0.89041096,0.82191781,0.79452055,0.89041096,0.82191781,0.83561644,0.75342466,0.89041096,0.81278539,0.80821918,0.03814904,0.97818122,0.81381070,1.15311135,4.33288157
Mallat,0.95394456,0.98166311,0.97014925,0.98336887,0.97739872,0.98208955,0.97185501,0.98976546,0.97313433,0.98294243,0.98550107,0.98336887,0.97825160,0.96162047,0.97953092,0.97697228,0.97654584,0.98464819,0.98933902,0.97782516,0.98379531,0.98635394,0.97654584,0.98208955,0.98763326,0.98422175,0.97782516,0.97995736,0.98678038,0.97142857,0.95394456,0.98976546,0.97921819,0.98081023,0.00772231,0.99945781,0.97916848,0.96494987,18.60332903
Meat,0.95000000,1.00000000,0.98333333,0.98333333,1.00000000,1.00000000,1.00000000,0.96666667,1.00000000,0.98333333,0.96666667,1.00000000,1.00000000,1.00000000,0.98333333,1.00000000,1.00000000,1.00000000,1.00000000,0.96666667,0.98333333,1.00000000,1.00000000,0.96666667,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.95000000,0.95000000,1.00000000,0.98944444,1.00000000,0.01580163,0.99991667,0.98940710,0.33309246,2.35592486
MedicalImages,0.79605263,0.81052632,0.78815789,0.82500000,0.82236842,0.81973684,0.83157895,0.79736842,0.82894737,0.81447368,0.78947368,0.82500000,0.83684211,0.82894737,0.82236842,0.81973684,0.81447368,0.82368421,0.81578947,0.83157895,0.81315789,0.82105263,0.82894737,0.80131579,0.81052632,0.81184211,0.81842105,0.84473684,0.83421053,0.82763158,0.78815789,0.84473684,0.81846491,0.82039474,0.01344633,0.96969313,0.78464141,1.34341268,8.67965779
MiddlePhalanxOutlineAgeGroup,0.61038961,0.70779221,0.74675325,0.73376623,0.72077922,0.75974026,0.72727273,0.70779221,0.76623377,0.74675325,0.77272727,0.71428571,0.66883117,0.72077922,0.75974026,0.77922078,0.71428571,0.74025974,0.78571429,0.75974026,0.76623377,0.74675325,0.74025974,0.73376623,0.77272727,0.68831169,0.73376623,0.71428571,0.66883117,0.78571429,0.61038961,0.78571429,0.73311688,0.73701299,0.03820883,0.83809114,0.65674536,0.71252071,3.90937023
MiddlePhalanxOutlineCorrect,0.84879725,0.85910653,0.89690722,0.83161512,0.89690722,0.86597938,0.84536082,0.88659794,0.82817869,0.84536082,0.84879725,0.86254296,0.82474227,0.85223368,0.86254296,0.81443299,0.85910653,0.85567010,0.85567010,0.85910653,0.86254296,0.86597938,0.82817869,0.87628866,0.86254296,0.85910653,0.85567010,0.86941581,0.85223368,0.84536082,0.81443299,0.89690722,0.85589920,0.85738832,0.01879976,0.93257711,0.88838890,0.47785903,5.80112905
MiddlePhalanxTW,0.55194805,0.61688312,0.61688312,0.57792208,0.60389610,0.59090909,0.55844156,0.59090909,0.58441558,0.60389610,0.60389610,0.60389610,0.62337662,0.61688312,0.57792208,0.56493506,0.57792208,0.64285714,0.60389610,0.60389610,0.57142857,0.59090909,0.58441558,0.60389610,0.59740260,0.64285714,0.62337662,0.56493506,0.61038961,0.57792208,0.55194805,0.64285714,0.59610390,0.60064935,0.02264363,0.80130892,0.36733732,1.23100295,2.84653795
MixedShapesRegularTrain,0.98556701,0.98804124,0.98721649,0.98845361,0.98226804,0.98721649,0.98185567,0.98597938,0.98268041,0.98927835,0.98432990,0.99010309,0.98432990,0.98391753,0.98268041,0.98804124,0.98515464,0.98309278,0.99010309,0.98350515,0.99051546,0.97979381,0.98556701,0.98103093,0.98515464,0.98432990,0.98226804,0.98597938,0.98268041,0.98268041,0.97979381,0.99051546,0.98512715,0.98474227,0.00283295,0.99949779,0.98518476,0.52875835,19.02256795
MixedShapesSmallTrain,0.97319588,0.96247423,0.96989691,0.96948454,0.95546392,0.96041237,0.97360825,0.96948454,0.97278351,0.96494845,0.96865979,0.96907216,0.96000000,0.95876289,0.96082474,0.95752577,0.97237113,0.96000000,0.95175258,0.96082474,0.97154639,0.95958763,0.96453608,0.97113402,0.96453608,0.96907216,0.96824742,0.96288660,0.97484536,0.95958763,0.95175258,0.97484536,0.96525086,0.96474227,0.00602771,0.99717146,0.96509491,0.60929911,16.09043566
MoteStrain,0.94169329,0.91214058,0.92012780,0.95127796,0.95367412,0.93690096,0.90575080,0.95047923,0.91693291,0.95846645,0.88977636,0.89137380,0.94249201,0.90495208,0.94249201,0.94009585,0.93530351,0.91214058,0.94089457,0.90654952,0.95607029,0.89696486,0.94488818,0.94169329,0.91773163,0.92811502,0.88338658,0.85143770,0.91773163,0.92971246,0.85143770,0.95846645,0.92404153,0.92891374,0.02482159,0.97700328,0.91871994,0.44988771,3.72968685
NonInvasiveFetalECGThorax1,0.95674300,0.95725191,0.96590331,0.95725191,0.96234097,0.95928753,0.95877863,0.95368957,0.95826972,0.96386768,0.95725191,0.96132316,0.95674300,0.95826972,0.96692112,0.96183206,0.96539440,0.96488550,0.95674300,0.95674300,0.96030534,0.95826972,0.95776081,0.95928753,0.95674300,0.96081425,0.96284987,0.96590331,0.96081425,0.95877863,0.95368957,0.96692112,0.96003393,0.95903308,0.00336220,0.99920034,0.95830112,2.40830342,39.08847089
NonInvasiveFetalECGThorax2,0.96895674,0.96386768,0.96895674,0.97302799,0.96132316,0.96793893,0.96844784,0.96743003,0.96641221,0.96590331,0.96590331,0.96539440,0.97099237,0.96895674,0.96692112,0.96590331,0.96488550,0.95979644,0.96437659,0.96641221,0.96183206,0.96488550,0.96234097,0.96641221,0.96386768,0.96386768,0.96488550,0.96386768,0.96335878,0.96946565,0.95979644,0.97302799,0.96588634,0.96590331,0.00287726,0.99883948,0.96407867,2.29700819,50.93873453
OSULeaf,0.98760331,0.97933884,0.97107438,0.98347107,0.97933884,0.98347107,0.97107438,0.97520661,0.98760331,0.98347107,0.99586777,0.97933884,0.99586777,0.98760331,0.97107438,0.97933884,0.98347107,0.97520661,0.98760331,0.98760331,0.98347107,0.98347107,0.97933884,0.97933884,0.99173554,0.98347107,0.99173554,0.97520661,0.97107438,0.96694215,0.96694215,0.99586777,0.98168044,0.98347107,0.00736754,0.99817106,0.98223587,0.72738113,4.04214167
OliveOil,0.96666667,0.93333333,0.90000000,0.90000000,0.86666667,0.93333333,0.86666667,0.90000000,0.90000000,0.90000000,0.93333333,1.00000000,1.00000000,0.90000000,0.90000000,0.90000000,0.96666667,0.83333333,0.90000000,0.83333333,0.90000000,0.96666667,0.90000000,0.86666667,0.96666667,0.90000000,0.90000000,0.90000000,1.00000000,0.83333333,0.83333333,1.00000000,0.91222222,0.90000000,0.04593339,0.98450209,0.88999434,0.61925117,2.46604257
PhalangesOutlinesCorrect,0.85081585,0.86130536,0.86013986,0.86829837,0.87762238,0.86946387,0.87296037,0.86013986,0.87062937,0.86247086,0.87062937,0.87645688,0.88461538,0.86596737,0.86013986,0.85314685,0.84615385,0.86829837,0.87296037,0.84731935,0.88927739,0.87179487,0.84731935,0.86713287,0.86247086,0.87296037,0.87762238,0.87995338,0.86480186,0.87645688,0.84615385,0.88927739,0.86697747,0.86829837,0.01068934,0.92928569,0.89987868,0.48081862,11.33965059
Phoneme,0.35073840,0.37869198,0.36603376,0.38924051,0.35495781,0.37658228,0.35917722,0.37289030,0.37552743,0.36761603,0.33280591,0.35495781,0.35390295,0.34599156,0.36656118,0.36867089,0.34757384,0.39029536,0.35179325,0.37025316,0.36919831,0.35495781,0.37658228,0.36234177,0.38343882,0.37130802,0.39504219,0.35126582,0.37236287,0.35126582,0.33280591,0.39504219,0.36540084,0.36708861,0.01435297,nan,0.20346222,nan,11.74286652
PigAirwayPressure,0.89423077,0.90865385,0.85096154,0.84615385,0.84134615,0.86538462,0.88461538,0.85096154,0.84134615,0.88942308,0.83173077,0.82211538,0.89903846,0.86538462,0.88461538,0.87500000,0.79807692,0.86538462,0.88942308,0.87019231,0.87019231,0.86538462,0.88461538,0.87019231,0.83653846,0.90384615,0.88461538,0.89423077,0.85576923,0.86057692,0.79807692,0.90865385,0.86666667,0.86778846,0.02537725,0.99440281,0.86196678,3.24436138,7.88032577
PigArtPressure,0.99038462,0.96153846,0.97115385,0.93269231,0.95673077,0.96634615,0.96153846,0.94230769,0.98557692,0.93750000,0.97115385,0.95673077,0.93269231,0.96153846,0.95192308,0.94711538,0.94711538,0.93750000,0.98076923,0.96634615,0.98076923,0.95673077,0.97596154,0.93750000,0.92307692,0.89903846,0.92307692,0.97115385,0.94230769,0.96153846,0.89903846,0.99038462,0.95432692,0.95673077,0.02057595,0.99943753,0.95071490,2.62869199,7.07240386
PigCVP,0.95192308,0.88461538,0.87500000,0.91826923,0.92307692,0.88942308,0.89903846,0.88461538,0.93750000,0.90384615,0.92307692,0.89423077,0.91346154,0.89903846,0.92307692,0.91346154,0.93269231,0.90865385,0.90384615,0.90865385,0.90865385,0.88942308,0.92307692,0.91346154,0.87500000,0.94230769,0.89903846,0.89903846,0.90384615,0.88942308,0.87500000,0.95192308,0.90769231,0.90625000,0.01876027,0.99332736,0.90127570,2.97847653,8.24368260
Plane,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.63511984,3.73337253
PowerCons,0.97777778,0.97222222,0.96111111,0.97777778,0.97777778,0.98333333,0.96666667,0.98333333,0.97777778,0.96111111,0.97222222,0.98888889,0.96111111,0.94444444,0.94444444,0.97222222,0.96666667,0.95555556,0.97777778,0.97777778,0.97222222,1.00000000,0.96666667,0.96666667,0.96666667,0.96666667,0.96111111,0.97777778,0.98888889,0.96666667,0.94444444,1.00000000,0.97111111,0.97222222,0.01194983,0.99604527,0.97116438,0.37575794,6.48676564
ProximalPhalanxOutlineAgeGroup,0.85853659,0.83414634,0.82926829,0.85365854,0.82439024,0.87317073,0.83414634,0.80975610,0.82926829,0.85365854,0.86341463,0.84878049,0.83902439,0.86341463,0.88292683,0.85853659,0.86829268,0.83414634,0.84878049,0.84878049,0.84878049,0.82926829,0.83414634,0.84390244,0.82926829,0.83902439,0.85365854,0.83902439,0.83414634,0.86341463,0.80975610,0.88292683,0.84569106,0.84634146,0.01610413,0.93927922,0.80798407,0.52386923,3.20428032
ProximalPhalanxOutlineCorrect,0.90721649,0.88316151,0.91752577,0.92096220,0.89690722,0.88316151,0.87285223,0.92439863,0.89003436,0.92096220,0.89690722,0.91065292,0.90378007,0.87972509,0.90378007,0.89690722,0.87972509,0.91408935,0.88316151,0.91752577,0.91408935,0.94158076,0.91408935,0.90378007,0.92096220,0.90721649,0.90721649,0.91408935,0.94158076,0.88316151,0.87285223,0.94158076,0.90504009,0.90721649,0.01746578,0.95161335,0.93323105,0.46500474,4.73379555
ProximalPhalanxTW,0.81463415,0.82439024,0.82439024,0.84390244,0.77073171,0.80487805,0.82439024,0.80000000,0.83414634,0.82439024,0.80000000,0.82439024,0.80487805,0.80000000,0.82926829,0.82439024,0.82926829,0.84390244,0.84878049,0.81463415,0.80000000,0.81951220,0.82439024,0.81463415,0.85853659,0.83414634,0.83902439,0.79512195,0.82926829,0.81463415,0.77073171,0.85853659,0.82048780,0.82439024,0.01809487,0.92243872,0.53378473,0.89737994,2.67367683
RefrigerationDevices,0.56800000,0.84800000,0.86133333,0.80800000,0.79466667,0.81066667,0.80000000,0.84000000,0.82933333,0.80266667,0.79466667,0.82133333,0.78666667,0.82400000,0.81866667,0.82400000,0.82933333,0.83200000,0.83466667,0.81333333,0.80533333,0.82400000,0.74933333,0.83200000,0.82666667,0.78133333,0.83200000,0.80533333,0.82666667,0.77333333,0.56800000,0.86133333,0.80657778,0.82000000,0.04980666,0.92226560,0.80504338,0.64011031,7.52105519
Rock,0.88000000,0.84000000,0.88000000,0.92000000,0.80000000,0.92000000,0.94000000,0.92000000,0.90000000,0.98000000,0.86000000,0.86000000,0.86000000,0.84000000,0.84000000,0.84000000,0.92000000,0.86000000,0.88000000,0.82000000,0.96000000,0.90000000,0.86000000,0.80000000,0.90000000,0.80000000,0.92000000,0.92000000,0.92000000,0.86000000,0.80000000,0.98000000,0.88000000,0.88000000,0.04618802,0.97816779,0.87431788,0.65245703,18.67364887
ScreenType,0.55200000,0.68266667,0.70400000,0.69866667,0.66400000,0.71733333,0.70666667,0.65600000,0.69333333,0.73066667,0.67733333,0.69333333,0.74666667,0.68000000,0.69866667,0.71466667,0.70666667,0.70400000,0.72266667,0.71200000,0.70400000,0.72533333,0.70133333,0.72800000,0.70666667,0.69333333,0.68800000,0.71733333,0.68266667,0.72800000,0.55200000,0.74666667,0.69786667,0.70400000,0.03355588,0.85486329,0.69720591,0.79145284,25.33757795
SemgHandGenderCh2,0.93833333,0.93833333,0.92500000,0.95666667,0.95333333,0.95500000,0.95500000,0.94666667,0.95166667,0.95333333,0.94833333,0.94833333,0.95166667,0.93500000,0.93833333,0.95166667,0.93833333,0.94666667,0.94666667,0.94833333,0.94500000,0.95833333,0.94833333,0.93833333,0.94333333,0.94166667,0.94166667,0.94333333,0.94166667,0.93500000,0.92500000,0.95833333,0.94544444,0.94666667,0.00751459,0.98868524,0.92921720,0.45122640,13.37971317
SemgHandMovementCh2,0.74666667,0.78000000,0.77111111,0.74222222,0.75111111,0.74666667,0.76000000,0.75111111,0.78888889,0.78666667,0.80222222,0.80000000,0.78666667,0.76222222,0.75333333,0.76888889,0.80222222,0.80666667,0.76222222,0.76888889,0.77555556,0.74222222,0.76222222,0.76666667,0.77111111,0.79333333,0.74666667,0.75333333,0.77111111,0.76444444,0.74222222,0.80666667,0.76948148,0.76777778,0.01886433,0.95405630,0.76994828,1.23621598,25.92439944
SemgHandSubjectCh2,0.91555556,0.94444444,0.93333333,0.92444444,0.93333333,0.95111111,0.90888889,0.92444444,0.93111111,0.94888889,0.93555556,0.93777778,0.94444444,0.93333333,0.92222222,0.91777778,0.90888889,0.94666667,0.95333333,0.91555556,0.93333333,0.93555556,0.93555556,0.91333333,0.92888889,0.95111111,0.93111111,0.92888889,0.94000000,0.92000000,0.90888889,0.95333333,0.93162963,0.93333333,0.01247461,0.99416523,0.93141941,0.83422172,14.72158586
ShapeletSim,1.00000000,1.00000000,1.00000000,0.98888889,0.97222222,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99444444,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99444444,0.99444444,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99444444,0.97222222,1.00000000,0.99796296,1.00000000,0.00545904,0.99988066,0.99797011,0.45212477,3.64755465
ShapesAll,0.95166667,0.97166667,0.96500000,0.96000000,0.97166667,0.96666667,0.96833333,0.95333333,0.96833333,0.96833333,0.95666667,0.96833333,0.95833333,0.96166667,0.96333333,0.95500000,0.96333333,0.95166667,0.96833333,0.96500000,0.96833333,0.96333333,0.96166667,0.95166667,0.97333333,0.95666667,0.96666667,0.97000000,0.95166667,0.96666667,0.95166667,0.97333333,0.96288889,0.96416667,0.00660994,0.99800056,0.96246083,2.79223300,16.49682219
SmallKitchenAppliances,0.80800000,0.86933333,0.84266667,0.84533333,0.86933333,0.83200000,0.82400000,0.86400000,0.86666667,0.86400000,0.82933333,0.86400000,0.82933333,0.84800000,0.81333333,0.85333333,0.84000000,0.84266667,0.83733333,0.85866667,0.85333333,0.85066667,0.83733333,0.87466667,0.83466667,0.85333333,0.85866667,0.85866667,0.86400000,0.86933333,0.80800000,0.87466667,0.84853333,0.85200000,0.01706667,0.95725618,0.84874298,0.53695342,20.75310160
SmoothSubspace,0.97333333,0.99333333,0.98666667,1.00000000,0.99333333,0.98000000,0.98000000,0.99333333,0.98666667,0.98666667,0.98000000,0.98666667,0.98000000,0.99333333,0.98666667,1.00000000,0.98666667,0.99333333,0.99333333,0.97333333,0.99333333,0.98000000,0.98000000,0.98666667,0.98666667,0.97333333,0.98000000,0.97333333,1.00000000,0.99333333,0.97333333,1.00000000,0.98644444,0.98666667,0.00797837,0.99954222,0.98642631,0.38151533,1.14877024
SonyAIBORobotSurface1,0.91680532,0.96838602,0.98336106,0.95341098,0.96838602,0.97670549,0.97836938,0.98169717,0.98336106,0.97504160,0.98169717,0.97670549,0.97004992,0.96339434,0.98668885,0.97171381,0.97836938,0.98003328,0.99334443,0.96173045,0.97504160,0.94841930,0.94841930,0.99334443,0.97004992,0.97004992,0.94176373,0.97504160,0.98502496,0.97171381,0.91680532,0.99334443,0.97093733,0.97504160,0.01587680,0.99805780,0.96772926,0.40539093,1.90495291
SonyAIBORobotSurface2,0.94963274,0.96537251,0.91710388,0.96117524,0.93284365,0.89087093,0.96747114,0.96956978,0.97691501,0.93913956,0.92025184,0.96852046,0.96117524,0.94228751,0.94858342,0.89087093,0.89087093,0.94753410,0.90241343,0.95173137,0.95487933,0.94858342,0.92549843,0.95068206,0.95592865,0.94228751,0.97481637,0.93704092,0.94228751,0.95278069,0.89087093,0.97691501,0.94263729,0.94858342,0.02407696,0.98946019,0.95443886,0.42650835,2.20134797
StarLightCurves,0.98215153,0.98020884,0.98312288,0.97668771,0.97935891,0.98105877,0.97935891,0.98093735,0.98093735,0.98069451,0.98203011,0.98227295,0.98239437,0.98190869,0.98118018,0.98203011,0.98020884,0.97911608,0.98020884,0.98300146,0.98057309,0.98105877,0.98227295,0.98008742,0.98203011,0.98203011,0.98130160,0.98081593,0.98020884,0.98093735,0.97668771,0.98312288,0.98100615,0.98099806,0.00130910,0.99356258,0.97132587,0.29558924,64.47586752
Strawberry,0.98378378,0.97297297,0.98108108,0.97837838,0.98378378,0.98108108,0.98648649,0.97297297,0.98108108,0.97837838,0.97837838,0.97837838,0.98108108,0.98378378,0.97837838,0.99459459,0.97837838,0.97837838,0.97837838,0.98378378,0.98378378,0.96756757,0.98378378,0.98108108,0.98378378,0.97027027,0.98378378,0.98108108,0.97027027,0.97027027,0.96756757,0.99459459,0.97963964,0.98108108,0.00557104,0.99574792,0.98407345,0.35240616,8.77321554
SwedishLeaf,0.98240000,0.97760000,0.97600000,0.97280000,0.98240000,0.96640000,0.98560000,0.98240000,0.99200000,0.97280000,0.97280000,0.98080000,0.97760000,0.97440000,0.97920000,0.97760000,0.98080000,0.98240000,0.97760000,0.98400000,0.97600000,0.97600000,0.97440000,0.98240000,0.98720000,0.97920000,0.98400000,0.97920000,0.97600000,0.98720000,0.96640000,0.99200000,0.97930667,0.97920000,0.00522449,0.99941010,0.97925754,1.35040983,6.23980558
Symbols,0.97989950,0.97085427,0.96783920,0.98592965,0.98793970,0.98492462,0.98994975,0.96281407,0.98894472,0.96783920,0.97487437,0.98391960,0.97587940,0.97889447,0.98492462,0.97085427,0.97587940,0.98492462,0.98391960,0.97788945,0.98693467,0.98190955,0.97989950,0.97587940,0.98592965,0.99296482,0.98391960,0.98592965,0.97989950,0.97386935,0.96281407,0.99296482,0.98020101,0.98090452,0.00722011,0.99750542,0.98027848,0.69170561,6.37865515
SyntheticControl,0.99333333,0.99666667,0.99666667,0.99000000,0.99333333,0.99333333,0.99666667,1.00000000,1.00000000,0.99333333,0.99666667,1.00000000,1.00000000,0.99666667,0.99000000,0.99666667,0.98666667,0.99333333,0.99333333,0.99666667,0.99000000,0.99333333,1.00000000,0.99333333,0.99666667,0.99666667,0.99666667,0.99666667,0.99000000,0.99333333,0.98666667,1.00000000,0.99500000,0.99666667,0.00341565,0.99996622,0.99499227,0.67919710,2.66247800
ToeSegmentation1,0.96929825,0.95175439,0.97368421,0.94298246,0.93859649,0.92982456,0.95614035,0.93859649,0.96052632,0.96052632,0.95175439,0.96929825,0.96929825,0.91666667,0.96052632,0.95175439,0.96052632,0.94298246,0.96929825,0.90789474,0.93421053,0.93421053,0.94298246,0.97807018,0.92543860,0.92543860,0.92982456,0.95175439,0.95614035,0.92982456,0.90789474,0.97807018,0.94766082,0.95175439,0.01772325,0.99015728,0.94442516,0.41492821,5.02296709
ToeSegmentation2,0.92307692,0.96153846,0.97692308,0.93846154,0.95384615,0.88461538,0.95384615,0.93076923,0.98461538,0.96153846,0.97692308,0.96923077,0.90769231,0.93076923,0.91538462,0.93846154,0.95384615,0.96153846,0.97692308,0.92307692,0.93846154,0.90769231,0.89230769,0.98461538,0.96923077,0.94615385,0.97692308,0.94615385,0.94615385,0.91538462,0.88461538,0.98461538,0.94487179,0.94615385,0.02702058,0.98952771,0.87868829,0.40064054,3.11770850
Trace,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000,0.37091732,28.17310675
TwoLeadECG,0.99824407,0.99824407,0.99736611,0.99561018,1.00000000,0.98946444,0.99561018,1.00000000,0.99473222,0.99297629,0.99824407,0.99824407,0.99824407,0.99824407,0.99824407,0.99736611,0.99912204,0.99912204,0.99912204,0.99912204,0.99824407,0.99736611,0.99736611,0.99912204,1.00000000,0.99297629,0.99648815,0.99824407,0.99824407,0.99824407,0.98946444,1.00000000,0.99745391,0.99824407,0.00230455,0.99994142,0.99745152,0.37723751,4.08991899
TwoPatterns,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99975000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99975000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99975000,1.00000000,0.99975000,1.00000000,0.99997500,1.00000000,0.00007500,1.00000000,0.99997550,0.43293488,7.60928875
UMD,0.99305556,0.99305556,0.99305556,0.99305556,0.97222222,0.96527778,0.99305556,0.98611111,0.99305556,0.97916667,0.97916667,1.00000000,0.99305556,0.98611111,0.97916667,0.99305556,0.97916667,1.00000000,0.99305556,0.97916667,1.00000000,0.99305556,0.97916667,0.99305556,0.97916667,0.99305556,0.98611111,0.98611111,0.98611111,0.97916667,0.96527778,1.00000000,0.98726852,0.98958333,0.00842605,0.99830006,0.98720931,0.37251021,1.45273370
UWaveGestureLibraryAll,0.97878280,0.97934115,0.98185371,0.98520380,0.97906198,0.97878280,0.98799553,0.97962032,0.98269123,0.98101619,0.98129537,0.97682859,0.97794528,0.98297041,0.98771636,0.98352875,0.98269123,0.98324958,0.98604132,0.98017867,0.98464545,0.98185371,0.98548297,0.98157454,0.98101619,0.98157454,0.98269123,0.98324958,0.98576214,0.98297041,0.97682859,0.98799553,0.98225386,0.98227247,0.00274924,0.99926666,0.98220774,0.85652389,28.40943374
